store_id,forecast_week,sales_prediction
33,7,36390.521384869695
33,8,36336.53888891253
33,9,20906.35910543751
34,1,44359.60039130108
34,2,44762.2977128244
34,3,44434.17283418958
34,4,44117.297167538694
34,5,43819.1649388494
34,6,43901.08521590485
34,7,43617.843577722524
34,8,42961.79319457338
34,9,24292.888039688158
35,1,47834.47445120668
35,2,47649.11015084124
35,3,48011.917250856066
35,4,47903.3486197614
35,5,47818.803790071295
35,6,47465.51287751471
35,7,48046.145873035166
35,8,48121.41817946081
35,9,27769.176456707268
36,1,46415.41556713667
36,2,46457.40068744136
36,3,46347.15618163493
36,4,46086.1194955807
36,5,45997.64322857273
36,6,45982.075464372814
36,7,46166.8530981185
36,8,46010.29168678395
36,9,26047.09234395314
37,1,46357.609066171615
37,2,46435.83301412035
37,3,46493.31736105698
37,4,46400.14810337859
37,5,46135.040200036085
37,6,45742.35675025977
37,7,46062.07463611233
37,8,46295.05893515835
37,9,26277.14964672016
38,1,56557.83458967567
38,2,56291.7146897467
38,3,55828.051958997545
38,4,55631.33193047628
38,5,55720.75186860178
38,6,55908.864237424124
38,7,55921.497455470846
38,8,55660.01606579376
38,9,31792.1368037741
39,1,24117.53539843243
39,2,25615.32356999049
39,3,27206.05270227894
39,4,26588.062770334513
39,5,26945.01981539858
39,6,27171.64024580111
39,7,28686.58538251794
39,8,28390.381459823668
39,9,15889.64848553452
40,1,28348.77717807208
40,2,29331.15124219783
40,3,30266.923072925303
40,4,29987.747666811683
40,5,30026.022085657736
40,6,30476.435141450933
40,7,30872.81322364434
40,8,30798.541335652324
40,9,17141.176650479512
41,1,40603.19656141032
41,2,40438.413024636
41,3,40622.38235584473
41,4,40618.05493255443
41,5,40364.94422800822
41,6,40395.730975649574
41,7,40873.347650127565
41,8,40977.72572135149
41,9,23169.916633658107
42,1,48715.55195511511
42,2,48193.98691206326
42,3,47720.172866712426
42,4,48012.72300850726
42,5,48143.91282487585
42,6,48087.23210196369
42,7,47718.442709348805
42,8,47982.80370013531
42,9,27518.3543727177
43,1,49549.0671001696
43,2,49891.010154555595
43,3,50413.95755712979
43,4,50113.14923541666
