store_id,forecast_week,sales_prediction
49,8,54745.33960909067
49,9,31513.9143127319
50,1,22288.062215252263
50,2,23539.849508703035
50,3,23499.837508799686
50,4,23006.646284014478
50,5,22317.237348819195
50,6,22760.77834680115
50,7,22826.02339287959
50,8,21666.780878382742
50,9,11689.559952103378
51,1,47943.71021140555
51,2,47554.12274430955
51,3,47475.41739561742
51,4,47995.363099978815
51,5,48223.65988471071
51,6,47676.63001631561
51,7,47651.41612398994
51,8,47885.62208710723
51,9,27498.12631349262
52,1,44627.01783331912
52,2,44466.91740910739
52,3,44228.14623829266
52,4,44368.45279521628
52,5,44251.099766835716
52,6,44326.55547009175
52,7,44161.344534182426
52,8,44324.213445205256
52,9,25359.54082414967
53,1,24605.723906667048
53,2,25264.02910876996
53,3,24859.369073517304
53,4,25008.826446330215
53,5,25362.805759779993
53,6,26520.8552772136
53,7,26005.48846565455
53,8,26079.298190376638
53,9,14840.806698206794
54,1,37826.30631354115
54,2,37961.70636013626
54,3,38282.53089688816
54,4,38116.96594777922
54,5,38341.23803098658
54,6,38426.45222302716
54,7,38562.775602083144
54,8,38385.06042214767
54,9,21912.357127051477
55,1,36753.92255141203
55,2,36885.15342740796
55,3,36866.14715744568
55,4,36579.2559467083
55,5,36732.93628868238
55,6,36535.62366054927
55,7,36602.04406318886
55,8,36536.80675413598
55,9,21026.449922846754
56,1,41390.082954196245
56,2,41852.333966572645
56,3,42476.61881100134
56,4,42133.154822298326
56,5,41866.265027648216
56,6,42002.139644348645
56,7,42579.25510514864
56,8,42695.12953247951
56,9,24004.04106611554
57,1,27640.68897019867
57,2,28636.822045847963
57,3,28888.245693271107
57,4,28495.20991333239
57,5,29090.575404654905
57,6,29788.89286872034
57,7,29157.45975819492
57,8,28832.080110919826
57,9,16433.06586595315
58,1,43547.205735676056
58,2,43744.0741540371
58,3,43412.300612738385
58,4,43326.147698672714
58,5,43643.99538065441
58,6,44231.89913526493
58,7,43743.331601585916
58,8,43638.1490219133
58,9,24900.505941206673
59,1,49391.120149913346
59,2,49328.26615168994
59,3,49434.27450237932
59,4,49624.166463858346
59,5,49981.375752869004
59,6,49735.47240707972
59,7,49529.683597657146
59,8,49438.4725831542
59,9,28018.46885307356
60,1,41776.119672886955
60,2,41643.36818054166
60,3,41948.67746477109
60,4,41750.839752736254
60,5,41439.460605005755
60,6,41260.301558054874
60,7,42199.142934878364
60,8,42452.83716667709
60,9,23813.97190396148
61,1,48802.88735965807
61,2,48749.97213064915
61,3,49038.23526954198
61,4,49079.058826260836
61,5,48637.69707991425
61,6,47924.97313265251
61,7,48330.10839519277
61,8,48385.4031645774
61,9,27177.069382267837
62,1,22629.63205400388
62,2,23386.119980178955
62,3,22952.678938654375
62,4,22934.9718348362
62,5,23155.3161110617
62,6,23738.05557191227
62,7,23199.667261675288
62,8,23104.37374022503
62,9,13221.389331124974
63,1,45598.02608520277
63,2,44982.33959406265
63,3,44325.64749134692
63,4,44688.47583277562
63,5,45163.60525440971
63,6,45181.932354424905
63,7,44936.77195866575
63,8,45038.17408103156
63,9,25625.878326332066
64,1,39354.76493371449
64,2,38889.68872102298
64,3,38491.19934465454
64,4,38739.154586721
64,5,38939.12437026157
64,6,38866.5632187825
64,7,38310.03816367045
64,8,38485.23518758804
64,9,22149.766780297683
65,1,41186.30652979324
65,2,41656.51720542316
65,3,41501.55604218804
65,4,41278.540997441996
65,5,41218.77462512241
65,6,41362.70819398566
65,7,42050.898492781605
65,8,41875.860500065945
65,9,23787.343008868596
66,1,37850.35747690249
66,2,37125.515027006324
66,3,35826.76890261362
66,4,35517.26508894759
66,5,35994.494946840336
66,6,36068.996452771746
66,7,35246.945938606994
66,8,34995.670117889735
66,9,20077.020832849354
67,1,45282.03172328977
67,2,44712.512589821716
67,3,44512.90576841067
67,4,44366.490175295854
67,5,44813.31471366352
67,6,44084.878530803435
67,7,44012.99167350131
67,8,43994.39301413115
67,9,25229.20022124363
68,1,45803.80285811173
68,2,45547.342081585084
68,3,45447.89030079592
68,4,45924.10174871191
68,5,45773.09294237667
68,6,45763.91200769496
68,7,45177.03563056518
68,8,45546.040574315775
68,9,25894.662868146308
69,1,44072.849431635
69,2,44077.29803817897
69,3,44515.93614665342
69,4,44128.903299265075
69,5,43954.89028907451
69,6,43705.31390856912
69,7,44131.18046243346
69,8,44257.32220412722
69,9,25411.76916576995
70,1,53410.3908862362
70,2,52821.97226648105
70,3,52735.13692764701
70,4,53317.02413800451
70,5,53305.68309757272
70,6,52749.14197579956
70,7,52348.54058079675
70,8,52432.28053286983
70,9,29783.73960290322
71,1,24439.817883237436
71,2,25486.631426689313
71,3,25758.87723790344
71,4,25437.001071209357
71,5,25633.239679554623
71,6,26159.733417790514
